	cpmid	n	avg_accuracy	max_accuracy	median_accuracy	std_error
237	12882516_D004967_x_D000544	3	0.26666666666666666	0.4	0.3	0.0881917103688197
238	12882516_D004967_x_D000544	4	0.2	0.3	0.2	0.03162277660168379
239	12882516_D004967_x_D000544	5	0.42000000000000004	0.6	0.4	0.066332495807108
240	12882516_D004967_x_D000544	6	0.16666666666666666	0.3	0.1	0.06666666666666668
241	12882516_D004967_x_D000544	7	0.3	0.4	0.3	0.031622776601683784
242	12882516_D004967_x_D000544	8	0.18	0.3	0.1	0.04898979485566356
243	12882516_D004967_x_D000544	9	0.13333333333333333	0.2	0.1	0.03333333333333334
244	12882516_D004967_x_D000544	10	0.1	0.1	0.1	0.0
245	12882516_D004967_x_D000544	11	0.1	0.1	0.1	
246	12882516_D009569_x_D000544	1	0.34	0.6	0.3	0.0812403840463596
247	12882516_D009569_x_D000544	2	0.31999999999999995	0.4	0.3	0.020000000000000004
248	12882516_D009569_x_D000544	3	0.33999999999999997	0.8	0.2	0.12489995996796796
249	12882516_D009569_x_D000544	4	0.32	0.5	0.4	0.07348469228349534
250	12882516_D009569_x_D000544	5	0.26000000000000006	0.4	0.2	0.06
251	12882516_D009569_x_D000544	6	0.45999999999999996	0.8	0.5	0.11224972160321822
252	12882516_D009569_x_D000544	7	0.3	0.3	0.3	0.0
253	12882516_D009569_x_D000544	8	0.24	0.4	0.2	0.05099019513592785
254	12882516_D009569_x_D000544	9	0.15000000000000002	0.2	0.15000000000000002	0.02886751345948129
255	12882516_D009569_x_D000544	10	0.4	0.7	0.4	0.08366600265340753
256	12882516_D009569_x_D000544	11	0.16666666666666666	0.2	0.2	0.03333333333333334
257	12882516_D009569_x_D000544	12	0.125	0.2	0.1	0.025
258	1299347_D014361_x_D008232	1	0.86	0.9	0.9	0.024494897427831765
259	1299347_D014361_x_D008232	2	0.9399999999999998	1.0	1.0	0.03999999999999999
260	1299347_D014361_x_D008232	3	0.9400000000000001	1.0	1.0	0.03999999999999999
261	1299347_D014361_x_D008232	4	1.0	1.0	1.0	0.0
262	1299347_D014361_x_D008232	5	1.0	1.0	1.0	0.0
263	1299347_D014361_x_D008232	6	1.0	1.0	1.0	0.0
264	1299347_D014361_x_D008232	7	1.0	1.0	1.0	0.0
265	1299347_D014361_x_D008232	8	1.0	1.0	1.0	0.0
266	1299347_D014361_x_D008232	9	1.0	1.0	1.0	0.0
267	1299347_D014361_x_D008232	10	1.0	1.0	1.0	0.0
268	1299347_D014361_x_D008232	11	1.0	1.0	1.0	0.0
269	1299347_D014361_x_D008232	12	1.0	1.0	1.0	0.0
270	1299347_D014361_x_D008232	13	1.0	1.0	1.0	0.0
271	1299347_D014361_x_D008232	14	1.0	1.0	1.0	0.0
272	1299347_D014361_x_D008232	15	1.0	1.0	1.0	0.0
273	1325164_5443_x_C536008	1	0.27999999999999997	0.4	0.3	0.048989794855663564
274	1325164_5443_x_C536008	2	0.42000000000000004	0.7	0.4	0.07348469228349533
275	1325164_5443_x_C536008	3	0.42000000000000004	0.7	0.4	0.08602325267042626
276	1325164_5443_x_C536008	4	0.64	0.8	0.6	0.050990195135927834
277	1325164_5443_x_C536008	5	0.6399999999999999	0.8	0.7	0.06782329983125268
278	1325164_5443_x_C536008	6	0.7	0.8	0.7	0.0447213595499958
279	1325164_5443_x_C536008	7	0.6799999999999999	0.9	0.6	0.07348469228349534
280	1325164_5443_x_C536008	8	0.76	0.9	0.8	0.050990195135927854
281	1325164_5443_x_C536008	9	0.8200000000000001	0.9	0.8	0.03741657386773941
282	1325164_5443_x_C536008	10	0.8400000000000001	0.9	0.9	0.04
283	1325164_5443_x_C536008	11	0.96	1.0	1.0	0.039999999999999994
284	1325164_5443_x_C536008	12	0.9800000000000001	1.0	1.0	0.019999999999999993
285	1325164_5443_x_C536008	13	1.0	1.0	1.0	0.0
286	1325164_5443_x_C536008	14	1.0	1.0	1.0	0.0
287	1325164_5443_x_C536008	15	1.0	1.0	1.0	0.0
288	1325164_5443_x_None	1	0.2333333333333333	0.4	0.2	0.0881917103688197
289	1325164_5443_x_None	2	0.125	0.2	0.1	0.025
290	1325164_5443_x_None	3	0.2	0.4	0.2	0.05477225575051661
291	1325164_5443_x_None	4	0.20000000000000004	0.3	0.2	0.03162277660168379
292	1325164_5443_x_None	5	0.175	0.3	0.15000000000000002	0.04787135538781691
293	1325164_5443_x_None	6	0.1	0.1	0.1	0.0
294	1325164_5443_x_None	7	0.10000000000000002	0.1	0.1	0.0
295	14675190_D006497_x_D001768	1	0.4	0.5	0.4	0.0316227766016838
296	14675190_D006497_x_D001768	2	0.38	0.6	0.4	0.066332495807108
297	14675190_D006497_x_D001768	3	0.36	0.4	0.4	0.024494897427831792
298	14675190_D006497_x_D001768	4	0.42000000000000004	0.6	0.4	0.08
299	14675190_D006497_x_D001768	5	0.18	0.3	0.2	0.03741657386773941
300	14675190_D006497_x_D001768	6	0.20000000000000004	0.3	0.2	0.05773502691896257
301	14675190_D006497_x_D001768	7	0.22500000000000003	0.3	0.25	0.047871355387816894
302	14675190_D006497_x_D001768	8	0.15000000000000002	0.3	0.1	0.049999999999999996
303	14675190_D006497_x_D001768	9	0.13333333333333333	0.2	0.1	0.03333333333333334
304	14675190_D006497_x_D001768	10	0.2	0.2	0.2	
305	14675190_D006497_x_D001768	11	0.15000000000000002	0.2	0.15000000000000002	0.049999999999999996
306	15589762_C066308_x_D018981	1	0.74	0.9	0.7	0.050990195135927854
307	15589762_C066308_x_D018981	2	0.68	0.8	0.7	0.03741657386773941
308	15589762_C066308_x_D018981	3	0.7399999999999999	0.8	0.7	0.024494897427831803
309	15589762_C066308_x_D018981	4	0.86	1.0	0.8	0.03999999999999998
310	15589762_C066308_x_D018981	5	0.9199999999999999	1.0	0.9	0.037416573867739396
311	15589762_C066308_x_D018981	6	0.9800000000000001	1.0	1.0	0.019999999999999993
312	15589762_C066308_x_D018981	7	0.9800000000000001	1.0	1.0	0.019999999999999993
313	15589762_C066308_x_D018981	8	1.0	1.0	1.0	0.0
314	15589762_C066308_x_D018981	9	1.0	1.0	1.0	0.0
315	15589762_C066308_x_D018981	10	1.0	1.0	1.0	0.0
